held_out_inner_study,balanced_accuracy,sensitivity,specificity,precision,roc_auc,n_validation,candidate_c,candidate_l1_ratio,candidate_param_label,panel_name,outer_held_out_study
GSE184316,0.75,1.0,0.5,0.7692307692307693,1.0,16,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE213001
mean,0.8305555555555556,,,,,74,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE213001
GSE73189,0.6,1.0,0.2,0.5,0.8,9,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE213001
GSE184316,0.8333333333333333,1.0,0.6666666666666666,0.8333333333333334,1.0,16,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE213001
mean,0.851388888888889,,,,,74,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE213001
GSE73189,0.5,0.0,1.0,,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE213001
GSE138239,0.5,1.0,0.0,0.7333333333333333,0.5,15,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE213001
GSE184316,0.5,0.0,1.0,,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE213001
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE213001
mean,0.5,,,,,74,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7000000000000001,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE213001
GSE184316,1.0,1.0,1.0,1.0,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE213001
mean,0.8680555555555556,,,,,74,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE213001
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.8,9,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE213001
GSE184316,1.0,1.0,1.0,1.0,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE213001
mean,0.8680555555555556,,,,,74,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE213001
GSE73189,0.6,1.0,0.2,0.5,0.8,9,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE213001
GSE184316,0.8333333333333333,1.0,0.6666666666666666,0.8333333333333334,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE213001
mean,0.851388888888889,,,,,74,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE213001
GSE73189,0.6,1.0,0.2,0.5,0.8,9,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE213001
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE213001
GSE184316,0.75,1.0,0.5,0.7692307692307693,1.0,16,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE213001
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE213001
mean,0.8305555555555556,,,,,74,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE213001
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.8,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE138239
GSE213001,0.9662944582299421,0.9838709677419355,0.9487179487179487,0.9682539682539683,0.998759305210918,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE138239
GSE184316,0.9,0.8,1.0,1.0,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE138239
mean,0.8846291701130411,,,,,160,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE138239
mean,0.9180555555555556,,,,,160,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE138239
mean,0.9180555555555556,,,,,160,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE138239
GSE184316,0.9,0.8,1.0,1.0,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE138239
mean,0.9,,,,,160,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE138239
GSE184316,0.8,0.6,1.0,1.0,1.0,16,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE138239
mean,0.875,,,,,160,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE138239
GSE73189,0.6,1.0,0.2,0.5,0.7000000000000001,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE138239
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE138239
GSE184316,0.8,0.6,1.0,1.0,1.0,16,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE138239
mean,0.7180555555555556,,,,,160,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE138239
mean,0.9180555555555556,,,,,160,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE138239
mean,0.925,,,,,160,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE138239
mean,0.925,,,,,160,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE138239
GSE184316,0.8,0.6,1.0,1.0,1.0,16,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE138239
mean,0.875,,,,,160,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE138239
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE138239
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE138239
GSE184316,0.5,1.0,0.0,0.625,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE138239
GSE199949,0.5,0.0,1.0,,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE138239
mean,0.5,,,,,160,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE138239
mean,0.9180555555555556,,,,,160,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE138239
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE138239
mean,0.9229838709677419,,,,,160,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE138239
GSE184316,1.0,1.0,1.0,1.0,1.0,16,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE138239
mean,0.925,,,,,160,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE138239
GSE184316,0.8,0.6,1.0,1.0,1.0,16,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE138239
GSE199949,1.0,1.0,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE138239
mean,0.875,,,,,160,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.8,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE184316
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE184316
mean,0.9148504273504274,,,,,159,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE184316
mean,0.9180555555555556,,,,,159,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE184316
mean,0.9180555555555556,,,,,159,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE184316
mean,0.9180555555555556,,,,,159,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE184316
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE184316
mean,0.9148504273504274,,,,,159,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE184316
GSE73189,0.6,1.0,0.2,0.5,0.75,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE184316
GSE213001,0.5,0.0,1.0,,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE184316
mean,0.7680555555555556,,,,,159,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE184316
GSE73189,0.6,1.0,0.2,0.5,0.7,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE184316
mean,0.8930555555555556,,,,,159,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE184316
mean,0.9180555555555556,,,,,159,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE184316
mean,0.9180555555555556,,,,,159,10.0,0.5,"C=10, l1_ratio=0.5",top_50,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE184316
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE184316
mean,0.9148504273504274,,,,,159,100.0,0.5,"C=100, l1_ratio=0.5",top_50,GSE184316
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE184316
GSE213001,0.5,0.0,1.0,,0.5,101,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE184316
GSE138239,0.5,1.0,0.0,0.7333333333333333,0.5,15,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE184316
GSE199949,0.5,1.0,0.0,0.5294117647058824,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE184316
mean,0.5,,,,,159,0.01,0.75,"C=0.01, l1_ratio=0.75",top_50,GSE184316
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE184316
mean,0.8680555555555556,,,,,159,0.1,0.75,"C=0.1, l1_ratio=0.75",top_50,GSE184316
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.7,9,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE184316
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE184316
mean,0.8680555555555556,,,,,159,1.0,0.75,"C=1, l1_ratio=0.75",top_50,GSE184316
GSE73189,0.6,1.0,0.2,0.5,0.7,9,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE184316
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE184316
mean,0.8898504273504274,,,,,159,10.0,0.75,"C=10, l1_ratio=0.75",top_50,GSE184316
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE184316
GSE213001,0.9871794871794872,1.0,0.9743589743589743,0.9841269841269841,1.0,101,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE184316
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE184316
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE184316
mean,0.9148504273504274,,,,,159,100.0,0.75,"C=100, l1_ratio=0.75",top_50,GSE184316
GSE73189,0.575,0.75,0.4,0.5,0.75,9,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE199949
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE199949
GSE184316,0.75,0.5,1.0,1.0,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE199949
mean,0.70625,,,,,141,0.01,0.25,"C=0.01, l1_ratio=0.25",top_50,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE199949
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE199949
GSE184316,0.7,0.4,1.0,1.0,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE199949
mean,0.8479838709677419,,,,,141,0.1,0.25,"C=0.1, l1_ratio=0.25",top_50,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE199949
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE199949
GSE184316,0.75,0.5,1.0,1.0,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE199949
mean,0.8604838709677419,,,,,141,1.0,0.25,"C=1, l1_ratio=0.25",top_50,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE199949
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE199949
GSE184316,0.7,0.4,1.0,1.0,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE199949
mean,0.8479838709677419,,,,,141,10.0,0.25,"C=10, l1_ratio=0.25",top_50,GSE199949
GSE73189,0.575,0.75,0.4,0.5,0.7,9,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE199949
GSE213001,1.0,1.0,1.0,1.0,1.0,101,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE199949
GSE184316,0.55,0.1,1.0,1.0,1.0,16,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE199949
mean,0.78125,,,,,141,100.0,0.25,"C=100, l1_ratio=0.25",top_50,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.65,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE199949
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE199949
GSE184316,0.8,0.6,1.0,1.0,1.0,16,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE199949
mean,0.75,,,,,141,0.01,0.5,"C=0.01, l1_ratio=0.5",top_50,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.75,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE199949
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE199949
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE199949
GSE184316,0.65,0.3,1.0,1.0,1.0,16,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE199949
mean,0.8354838709677419,,,,,141,0.1,0.5,"C=0.1, l1_ratio=0.5",top_50,GSE199949
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.5,"C=1, l1_ratio=0.5",top_50,GSE199949
